date,reviews,subscribers
2019/1/17,194,2671
2019/1/18,195,2671
2019/1/19,197,2674
2019/1/20,199,2685
2019/1/21,199,2695
2019/1/22,200,2701
2019/1/23,200,2710
2019/1/24,201,2718
2019/1/25,201,2722
2019/1/26,201,2725
2019/1/27,202,2734
2019/1/28,204,2753
2019/1/29,206,2773
2019/1/30,208,2785
2019/1/31,210,2803
2019/2/1,211,2845
2019/2/2,213,2847
2019/2/3,213,2847
2019/2/4,217,2851
2019/2/5,218,2852
2019/2/6,219,2857
2019/2/7,220,2861
2019/2/8,222,2865
2019/2/9,224,2870
2019/2/10,224,2875
2019/2/11,227,2892
2019/2/12,229,2906
2019/2/13,229,2919
2019/2/14,231,2942
2019/2/15,232,2974
2019/2/16,234,2977
2019/2/17,234,2978
2019/2/18,234,2981
2019/2/19,234,2983
2019/2/20,237,2984
2019/2/21,239,2987
2019/2/22,239,2989
2019/2/23,241,2993
2019/2/24,241,2995
2019/2/25,241,3009
2019/2/26,243,3014
2019/2/27,243,3023
2019/2/28,243,3031
2019/3/1,244,3052
2019/3/2,245,3060
2019/3/3,246,3062
2019/3/4,249,3063
2019/3/5,252,3066
2019/3/6,254,3071
2019/3/7,255,3074
2019/3/8,256,3076
2019/3/9,258,3077
2019/3/10,258,3080
2019/3/11,261,3087
2019/3/12,261,3089
2019/3/13,262,3093
2019/3/14,262,3098
2019/3/15,262,3104
2019/3/16,262,3112
2019/3/17,262,3120
2019/3/18,265,3131
2019/3/19,266,3142
2019/3/20,266,3162
2019/3/21,268,3173
2019/3/22,269,3180
2019/3/23,271,3187
2019/3/24,271,3189
2019/3/25,274,3196
2019/3/26,274,3212
2019/3/27,274,3220
2019/3/28,275,3226
2019/3/29,275,3241
2019/3/30,278,3253
2019/3/31,278,3255
2019/4/1,280,3258
2019/4/2,282,3262
2019/4/3,282,3264
2019/4/4,282,3272
2019/4/5,284,3275
2019/4/6,287,3276
2019/4/7,289,3279
2019/4/8,289,3285
2019/4/9,291,3300
2019/4/10,293,3306
2019/4/11,295,3312
2019/4/12,295,3319
2019/4/13,295,3324
2019/4/14,297,3325
2019/4/15,298,3329
2019/4/16,299,3331
2019/4/17,299,3332
2019/4/18,299,3333
2019/4/19,299,3336
2019/4/20,299,3339
2019/4/21,300,3343
2019/4/22,302,3349
2019/4/23,303,3357
2019/4/24,303,3370
2019/4/25,304,3388
2019/4/26,304,3412
2019/4/27,305,3437
2019/4/28,305,3439
2019/4/29,308,3440
2019/4/30,309,3447
2019/5/1,310,3466
2019/5/2,311,3481
2019/5/3,314,3504
2019/5/4,317,3522
2019/5/5,322,3527
2019/5/6,324,3533
2019/5/7,327,3543
